,Response,Test Stim,Test Speed,Correct,Time,Stim Time
430,left,mirror,-8.0,True,0.4986281394958496,0.48571428571428565
431,right,log,32.0,True,1.5117409229278564,0.48571428571428565
432,left,mirror,16.0,False,0.38297605514526367,0.48571428571428565
433,left,mirror,-8.0,True,0.400482177734375,0.48571428571428565
434,right,mirror,16.0,True,0.39992380142211914,0.48571428571428565
435,left,log,16.0,False,0.432786226272583,0.48571428571428565
436,right,log,8.0,True,0.34937620162963867,0.48571428571428565
437,left,mirror,-24.0,True,0.5065028667449951,0.48571428571428565
438,right,mirror,-8.0,False,0.5127811431884766,0.48571428571428565
439,right,log,-40.0,False,0.48273205757141113,0.48571428571428565
440,right,mirror,32.0,True,0.6290500164031982,0.48571428571428565
441,left,mirror,8.0,False,0.6875631809234619,0.48571428571428565
